T,t
76.4,0
73.6,1
70.7,2
68.2,3
66.3,4
63.9,5
62.1,6
60.5,7
58.7,8
57.4,9
56.1,10
54.8,11
53.6,12
52.4,13
51.4,14
50.3,15
49.4,16
48.5,17
47,18
46.7,19
46,20
45.2,21
44.5,22
43.9,23
43.2,24
42.6,25
42,26
41.5,27
40.9,28
40.4,29
39.8,30
39.4,31
38.9,32
38.5,33
38,34
37.6,35
37.1,36
36.8,37
36.4,38
36,39
35.5,40
35.1,41
34.8,42
34.5,43
34.3,44
34,45
33.7,46
33.5,47
33.2,48
32.9,49
32.7,50
32.4,51
32.2,52
31.9,53
31.7,54
31.5,55
31.3,56
31,57
30.8,58
30.6,59
30.5,60
