T,t
81.6,0
78.4,1
75,2
71.9,3
69.1,4
66.9,5
64.9,6
63.8,7
61.5,8
59.8,9
58.4,10
57.1,11
55.6,12
54.2,13
53,14
51.9,15
50.8,16
49.8,17
48.8,18
47.8,19
46.9,20
46.2,21
45.3,22
44.6,23
43.7,24
43.1,25
42.4,26
41.8,27
41.2,28
40.7,29
40.1,30
39.5,31
39.1,32
38.6,33
38,34
37.6,35
37.2,36
36.8,37
36.4,38
35.8,39
35.5,40
35.1,41
34.8,42
34.4,43
34,44
33.8,45
33.4,46
33.2,47
32.9,48
32.7,49
32.4,50
32.1,51
31.8,52
31.6,53
31.5,54
31.2,55
31,56
30.8,57
30.5,58
30.4,59
30.2,60
